date,code,amount,close,date_stamp,down_count,high,low,open,up_count,vol,volume
2012-01-12,000030,25765136384.0,1418.07,1326297600.0,0,1432.91,1406.06,1408.05,0,244725.0,244725.0
2012-01-13,000030,25538947072.0,1392.29,1326384000.0,0,1424.08,1377.88,1419.58,0,238230.0,238230.0
2012-01-16,000030,17487462400.0,1349.5,1326643200.0,0,1388.28,1349.21,1378.54,0,146754.0,146754.0
2012-01-17,000030,32811409408.0,1428.69,1326729600.0,0,1429.04,1341.43,1351.56,0,323630.0,323630.0
2012-01-18,000030,35627814912.0,1406.24,1326816000.0,0,1450.8,1400.78,1433.45,0,345350.0,345350.0
2012-01-19,000030,28150206464.0,1435.92,1326902400.0,0,1442.5,1398.4,1405.0,0,286047.0,286047.0
2012-01-20,000030,26454667264.0,1452.18,1326988800.0,0,1456.04,1427.97,1438.78,0,257915.0,257915.0
2012-01-30,000030,22867783680.0,1435.33,1327852800.0,0,1457.9,1433.39,1457.5,0,222436.0,222436.0
2012-01-31,000030,18077696000.0,1438.1,1327939200.0,0,1443.17,1426.6,1435.65,0,170505.0,170505.0
2012-02-01,000030,20794122240.0,1414.71,1328025600.0,0,1448.93,1410.38,1434.73,0,191223.0,191223.0
2012-02-02,000030,22395459584.0,1445.21,1328112000.0,0,1445.21,1414.35,1419.25,0,218600.0,218600.0
2012-02-03,000030,26319392768.0,1456.98,1328198400.0,0,1461.34,1434.97,1441.44,0,260817.0,260817.0
2012-02-06,000030,24149381120.0,1459.04,1328457600.0,0,1465.75,1447.83,1460.15,0,234973.0,234973.0
2012-02-07,000030,20316073984.0,1432.69,1328544000.0,0,1449.39,1421.44,1449.39,0,203997.0,203997.0
2012-02-08,000030,33823508480.0,1479.12,1328630400.0,0,1482.34,1428.12,1431.62,0,299385.0,299385.0
2012-02-09,000030,34603421696.0,1480.7,1328716800.0,0,1492.31,1468.74,1475.89,0,316840.0,316840.0
2012-02-10,000030,31441412096.0,1483.38,1328803200.0,0,1498.37,1474.87,1476.29,0,318701.0,318701.0
2012-02-13,000030,29097773056.0,1486.76,1329062400.0,0,1498.98,1460.86,1465.54,0,280566.0,280566.0
2012-02-14,000030,23337689088.0,1481.55,1329148800.0,0,1487.58,1471.42,1484.24,0,225607.0,225607.0
2012-02-15,000030,31654213632.0,1499.22,1329235200.0,0,1506.81,1474.94,1477.67,0,304709.0,304709.0
2012-02-16,000030,28460527616.0,1489.08,1329321600.0,0,1504.46,1477.41,1495.22,0,278385.0,278385.0
2012-02-17,000030,21844369408.0,1489.73,1329408000.0,0,1502.85,1479.67,1498.54,0,207623.0,207623.0
2012-02-20,000030,28623198208.0,1491.61,1329667200.0,0,1512.54,1490.9,1510.92,0,273580.0,273580.0
2012-02-21,000030,25650364416.0,1506.22,1329753600.0,0,1506.64,1477.98,1493.47,0,237789.0,237789.0
2012-02-22,000030,38726955008.0,1527.95,1329840000.0,0,1530.67,1506.59,1508.77,0,374718.0,374718.0
2012-02-23,000030,37703655424.0,1535.49,1329926400.0,0,1541.11,1525.22,1527.67,0,347257.0,347257.0
2012-02-24,000030,45816631296.0,1560.43,1330012800.0,0,1560.51,1533.42,1536.31,0,439908.0,439908.0
2012-02-27,000030,55576641536.0,1568.45,1330272000.0,0,1592.96,1566.65,1566.65,0,530879.0,530879.0
2012-02-28,000030,38633091072.0,1572.35,1330358400.0,0,1576.66,1557.77,1566.24,0,372377.0,372377.0
2012-02-29,000030,34749894656.0,1561.17,1330444800.0,0,1581.6,1556.7,1569.45,0,303301.0,303301.0
2012-03-01,000030,24838156288.0,1558.52,1330531200.0,0,1567.88,1550.97,1552.05,0,218458.0,218458.0
2012-03-02,000030,34703687680.0,1583.85,1330617600.0,0,1583.98,1561.88,1561.88,0,316770.0,316770.0
2012-03-05,000030,36417380352.0,1577.51,1330876800.0,0,1592.26,1575.72,1589.34,0,333148.0,333148.0
2012-03-06,000030,34722529280.0,1548.83,1330963200.0,0,1571.73,1545.09,1570.9,0,301702.0,301702.0
2012-03-07,000030,32455483392.0,1536.32,1331049600.0,0,1553.65,1530.28,1532.36,0,285967.0,285967.0
2012-03-08,000030,33952733184.0,1561.86,1331136000.0,0,1568.04,1541.92,1541.92,0,290406.0,290406.0
2012-03-09,000030,34382360576.0,1583.24,1331222400.0,0,1583.24,1560.56,1567.47,0,278933.0,278933.0
2012-03-12,000030,37776838656.0,1581.72,1331481600.0,0,1588.86,1568.71,1585.51,0,313495.0,313495.0
2012-03-13,000030,35718959104.0,1596.39,1331568000.0,0,1596.6,1576.3,1581.41,0,323486.0,323486.0
2012-03-14,000030,61617225728.0,1546.56,1331654400.0,0,1611.77,1537.89,1604.29,0,574876.0,574876.0
2012-03-15,000030,40805384192.0,1528.03,1331740800.0,0,1552.82,1518.43,1542.55,0,388222.0,388222.0
2012-03-16,000030,35916824576.0,1557.38,1331827200.0,0,1557.75,1523.36,1532.03,0,316026.0,316026.0
2012-03-19,000030,39129288704.0,1570.17,1332086400.0,0,1570.76,1545.45,1554.71,0,327457.0,327457.0
2012-03-20,000030,37252022272.0,1541.2,1332172800.0,0,1564.95,1540.68,1564.95,0,338102.0,338102.0
2012-03-21,000030,38565748736.0,1546.53,1332259200.0,0,1564.11,1533.04,1548.66,0,338408.0,338408.0
2012-03-22,000030,27934664704.0,1539.01,1332345600.0,0,1549.03,1531.0,1544.95,0,248825.0,248825.0
2012-03-23,000030,26665428992.0,1520.87,1332432000.0,0,1536.99,1514.48,1532.63,0,238155.0,238155.0
2012-03-26,000030,19608160256.0,1520.01,1332691200.0,0,1526.37,1508.51,1520.21,0,174080.0,174080.0
2012-03-27,000030,27331266560.0,1514.78,1332777600.0,0,1533.37,1512.97,1527.18,0,199955.0,199955.0
2012-03-28,000030,30401308672.0,1466.79,1332864000.0,0,1508.06,1463.69,1507.24,0,271854.0,271854.0
2012-03-29,000030,26517850112.0,1443.97,1332950400.0,0,1468.3,1434.32,1457.54,0,246518.0,246518.0
2012-03-30,000030,20995020800.0,1444.57,1333036800.0,0,1455.65,1431.94,1446.91,0,198183.0,198183.0
2012-04-05,000030,30630731776.0,1488.56,1333555200.0,0,1489.4,1436.25,1440.99,0,278876.0,278876.0
2012-04-06,000030,24971259904.0,1490.14,1333641600.0,0,1496.69,1479.42,1487.37,0,213360.0,213360.0
2012-04-09,000030,20022900736.0,1479.49,1333900800.0,0,1493.2,1474.56,1485.61,0,183521.0,183521.0
2012-04-10,000030,23642882048.0,1494.09,1333987200.0,0,1494.31,1452.32,1476.73,0,201523.0,201523.0
2012-04-11,000030,23585067008.0,1493.5,1334073600.0,0,1506.44,1470.91,1475.52,0,226041.0,226041.0
2012-04-12,000030,30458613760.0,1522.14,1334160000.0,0,1522.32,1491.36,1495.64,0,294633.0,294633.0
2012-04-13,000030,32058228736.0,1530.0,1334246400.0,0,1539.42,1521.6,1524.29,0,280685.0,280685.0
2012-04-16,000030,23983958016.0,1527.94,1334505600.0,0,1535.84,1517.17,1520.33,0,235008.0,235008.0
2012-04-17,000030,21269280768.0,1507.6,1334592000.0,0,1531.0,1507.29,1526.0,0,210774.0,210774.0
2012-04-18,000030,30366707712.0,1544.83,1334678400.0,0,1546.13,1511.42,1512.88,0,318110.0,318110.0
2012-04-19,000030,28757204992.0,1538.77,1334764800.0,0,1548.83,1531.2,1545.93,0,255069.0,255069.0
2012-04-20,000030,33715200000.0,1555.89,1334851200.0,0,1556.69,1533.62,1534.86,0,335182.0,335182.0
2012-04-23,000030,32747063296.0,1545.85,1335110400.0,0,1563.28,1540.2,1554.53,0,324678.0,324678.0
2012-04-24,000030,36927528960.0,1540.59,1335196800.0,0,1558.54,1510.68,1537.84,0,370505.0,370505.0
2012-04-25,000030,36595658752.0,1557.92,1335283200.0,0,1561.8,1535.45,1537.84,0,368988.0,368988.0
2012-04-26,000030,34796584960.0,1560.03,1335369600.0,0,1568.08,1550.43,1561.63,0,330445.0,330445.0
2012-04-27,000030,28408479744.0,1558.65,1335456000.0,0,1566.66,1555.16,1559.29,0,255883.0,255883.0
2012-05-02,000030,47130443776.0,1595.49,1335888000.0,0,1604.3,1566.5,1579.29,0,407637.0,407637.0
2012-05-03,000030,36213559296.0,1600.61,1335974400.0,0,1602.93,1589.62,1593.08,0,314017.0,314017.0
2012-05-04,000030,38743302144.0,1623.5,1336060800.0,0,1623.69,1595.19,1599.94,0,327915.0,327915.0
2012-05-07,000030,44247572480.0,1630.95,1336320000.0,0,1631.04,1612.11,1614.2,0,368942.0,368942.0
2012-05-08,000030,40102387712.0,1630.25,1336406400.0,0,1633.57,1609.21,1630.02,0,340920.0,340920.0
